iter	MultiClass
0	1.330217329
1	1.287876206
2	1.255125794
3	1.229141395
4	1.208593728
5	1.191649701
6	1.177885669
7	1.166451078
8	1.157313603
9	1.149735281
10	1.143383609
11	1.138455273
12	1.133982916
13	1.130424805
14	1.126866121
15	1.123972579
16	1.1215787
17	1.11974933
18	1.118196395
19	1.116470617
20	1.115129612
21	1.11389926
22	1.112938646
23	1.111783792
24	1.110861992
25	1.109873307
26	1.109136517
27	1.108627427
28	1.108063266
29	1.107335864
30	1.106631901
31	1.106041735
32	1.105685335
33	1.105095493
34	1.104737267
35	1.104287569
36	1.103943569
37	1.103616221
38	1.103320319
39	1.102857631
40	1.102418436
41	1.102013464
42	1.101630174
43	1.101382581
44	1.100967249
45	1.100684423
46	1.100289515
47	1.099971064
48	1.099444664
49	1.099092975
50	1.098840251
51	1.0984124
52	1.097976867
53	1.097678214
54	1.097355241
55	1.097125305
56	1.096832059
57	1.096663201
58	1.096388183
59	1.096109868
60	1.095939891
61	1.095581429
62	1.09526765
63	1.095109459
64	1.094824175
65	1.094640904
66	1.09431466
67	1.093942412
68	1.093733918
69	1.09340019
70	1.093141611
71	1.092998162
72	1.092802105
73	1.092632646
74	1.092471687
75	1.092301241
76	1.092091277
77	1.091870936
78	1.091664504
79	1.091444078
80	1.091257568
81	1.091017821
82	1.090850117
83	1.090738242
84	1.090479383
85	1.090290761
86	1.090028907
87	1.089716576
88	1.089532572
89	1.089410571
90	1.089219153
91	1.089128925
92	1.089007084
93	1.088793513
94	1.088675755
95	1.08849205
96	1.088321803
97	1.088219735
98	1.088027569
99	1.087804311
100	1.087635254
101	1.087455503
102	1.087201544
103	1.087039371
104	1.086902221
105	1.086802668
106	1.086594245
107	1.086305789
108	1.08613443
109	1.085973525
110	1.085829625
111	1.085685332
112	1.085542249
113	1.085408316
114	1.085243555
115	1.085125336
116	1.084962465
117	1.084761385
118	1.084576124
119	1.084357444
120	1.084182552
121	1.084060419
122	1.083944472
123	1.083804107
124	1.083595614
125	1.083430521
126	1.083175092
127	1.082999968
128	1.082862628
129	1.082674705
130	1.08256962
131	1.082390365
132	1.082277011
133	1.082148352
134	1.082051044
135	1.081809864
136	1.081627881
137	1.081457902
138	1.081294933
139	1.081078084
140	1.080902646
141	1.080769936
142	1.080609756
143	1.080497962
144	1.08029493
145	1.080085756
146	1.079938729
147	1.079760502
148	1.079605748
149	1.079448093
150	1.079318991
151	1.07920088
152	1.079107714
153	1.078951723
154	1.078795349
155	1.07864972
156	1.078480722
157	1.07831301
158	1.078173097
159	1.078059226
160	1.077916942
161	1.077815769
162	1.077689571
163	1.077579574
164	1.077462726
165	1.077233329
166	1.077147473
167	1.077033634
168	1.076939927
169	1.076833919
170	1.076702821
171	1.076564338
172	1.07638013
173	1.076176793
174	1.076067447
175	1.075915847
176	1.075763112
177	1.075602763
178	1.075498135
179	1.075382053
180	1.075213709
181	1.075078645
182	1.074919676
183	1.07480758
184	1.074673441
185	1.074576433
186	1.074449983
187	1.074347783
188	1.074205132
189	1.07408714
190	1.073975166
191	1.073896917
192	1.073769197
193	1.073607068
194	1.073385351
195	1.07330239
196	1.073230833
197	1.073164411
198	1.073049469
199	1.072932355
200	1.07277914
201	1.072647848
202	1.072531102
203	1.072433051
204	1.072305872
205	1.07214811
206	1.072070736
207	1.071936664
208	1.071814448
209	1.071696367
210	1.071612034
211	1.071487664
212	1.071424835
213	1.071290515
214	1.071236283
215	1.071176943
216	1.071039654
217	1.070893
218	1.070778516
219	1.07063821
220	1.070572091
221	1.070496562
222	1.070344792
223	1.070266831
224	1.070145733
225	1.070045923
226	1.069880519
227	1.069846109
228	1.069728505
229	1.069637958
230	1.069502875
231	1.069316825
232	1.069239265
233	1.069144588
234	1.069062018
235	1.068963279
236	1.068864594
237	1.068749668
238	1.068659291
239	1.068429447
240	1.068296891
241	1.068136519
242	1.0680136
243	1.067907843
244	1.067748672
245	1.067674168
246	1.067635294
247	1.067545124
248	1.067464162
249	1.067346748
250	1.067253679
251	1.067167468
252	1.0671105
253	1.066970928
254	1.066882008
255	1.066778919
256	1.066685057
257	1.06657547
258	1.066518299
259	1.066379486
260	1.066248589
261	1.066151486
262	1.066102551
263	1.066044553
264	1.065908234
265	1.065776873
266	1.065659394
267	1.065549356
268	1.065518745
269	1.065389097
270	1.065317768
271	1.065169641
272	1.065051266
273	1.064899816
274	1.064798525
275	1.064714714
276	1.064638618
277	1.064515196
278	1.064365723
279	1.064217821
280	1.064144662
281	1.064075949
282	1.063978175
283	1.063840067
284	1.063789832
285	1.063719423
286	1.06363314
287	1.063607214
288	1.063517074
289	1.063396794
290	1.063313857
291	1.063167494
292	1.063016602
293	1.062916964
294	1.062845565
295	1.062679742
296	1.062571745
297	1.062526332
298	1.062340858
299	1.062231772
300	1.062108982
301	1.061981126
302	1.061912407
303	1.06179067
304	1.061663808
305	1.061600674
306	1.061566396
307	1.06148327
308	1.061374935
309	1.061332823
310	1.061186254
311	1.061037981
312	1.060940403
313	1.060839173
314	1.060735813
315	1.060671573
316	1.060571522
317	1.060464988
318	1.060378772
319	1.060337509
320	1.060241273
321	1.060106628
322	1.060001479
323	1.05993237
324	1.059867916
325	1.059752628
326	1.059711113
327	1.05956946
328	1.059469533
329	1.05939676
330	1.059321797
331	1.059210534
332	1.059067051
333	1.05894216
334	1.058902471
335	1.058818915
336	1.058733882
337	1.058640504
338	1.058537026
339	1.058404315
340	1.058319153
341	1.058257727
342	1.058143192
343	1.058007111
344	1.057941923
345	1.057897812
346	1.057816077
347	1.05768745
348	1.057617591
349	1.057492106
350	1.057388716
351	1.057253518
352	1.05712768
353	1.057055257
354	1.056955751
355	1.056865729
356	1.056803768
357	1.056766947
358	1.056680045
359	1.056610192
360	1.056518286
361	1.05637226
362	1.056289395
363	1.056221298
364	1.056167129
365	1.056055788
366	1.055931441
367	1.055818591
368	1.055691983
369	1.055576226
370	1.055468566
371	1.055357576
372	1.055253363
373	1.055199988
374	1.055130139
375	1.055033882
376	1.054954295
377	1.0548371
378	1.054728855
379	1.054678701
380	1.054597164
381	1.054528273
382	1.054396817
383	1.054317527
384	1.054243999
385	1.054203009
386	1.05410218
387	1.054078265
388	1.053987229
389	1.053831462
390	1.053762974
391	1.05361989
392	1.053503471
393	1.053362263
394	1.05326279
395	1.05317715
396	1.053097417
397	1.053056062
398	1.052974298
399	1.052815628
400	1.052739086
401	1.052618545
402	1.052565812
403	1.052490572
404	1.052430667
405	1.052249558
406	1.052135424
407	1.052047516
408	1.051930132
409	1.051879739
410	1.051819104
411	1.051713042
412	1.051613042
413	1.051544353
414	1.051513396
415	1.051400951
416	1.051322379
417	1.051229174
418	1.051153428
419	1.051118148
420	1.051067848
421	1.050943204
422	1.050825318
423	1.050730384
424	1.050657571
425	1.050562973
426	1.050442783
427	1.050394606
428	1.050276791
429	1.05020122
430	1.050095579
431	1.049976486
432	1.049836864
433	1.049771892
434	1.049666218
