iter	Passed	Remaining
0	25	25340
1	43	21494
2	60	20232
3	78	19532
4	93	18630
5	112	18617
6	134	19096
7	157	19588
8	178	19697
9	201	19920
10	229	20607
11	247	20415
12	266	20220
13	286	20157
14	314	20640
15	343	21137
16	366	21198
17	390	21276
18	415	21443
19	440	21603
20	462	21568
21	485	21560
22	506	21529
23	528	21508
24	550	21475
25	576	21581
26	596	21496
27	614	21342
28	638	21394
29	662	21427
30	685	21438
31	706	21382
32	726	21293
33	748	21277
34	767	21164
35	789	21138
36	810	21088
37	836	21179
38	859	21172
39	880	21143
40	906	21202
41	926	21129
42	947	21093
43	968	21037
44	988	20967
45	1005	20855
46	1025	20802
47	1050	20831
48	1080	20968
49	1102	20947
50	1121	20876
51	1146	20898
52	1174	20979
53	1193	20903
54	1213	20844
55	1247	21028
56	1276	21113
57	1300	21116
58	1327	21174
59	1356	21254
60	1378	21223
61	1401	21208
62	1438	21401
63	1461	21371
64	1481	21309
65	1501	21246
66	1521	21184
67	1546	21197
68	1566	21138
69	1588	21108
70	1609	21059
71	1634	21064
72	1656	21040
73	1677	20995
74	1699	20966
75	1719	20908
76	1740	20867
77	1762	20829
78	1782	20781
79	1803	20737
80	1822	20680
81	1843	20641
82	1867	20632
83	1887	20578
84	1909	20549
85	1928	20496
86	1950	20465
87	1971	20430
88	1991	20387
89	2012	20345
90	2033	20313
91	2051	20243
92	2069	20181
93	2091	20157
94	2112	20123
95	2135	20113
96	2154	20061
97	2171	19987
98	2194	19971
99	2213	19920
100	2232	19875
101	2254	19850
102	2278	19839
103	2298	19805
104	2321	19787
105	2341	19747
106	2362	19718
107	2385	19702
108	2404	19656
109	2429	19660
110	2453	19647
111	2479	19657
112	2498	19612
113	2519	19578
114	2544	19584
115	2563	19531
116	2585	19513
117	2609	19507
118	2632	19486
119	2653	19456
120	2673	19419
121	2694	19389
122	2716	19366
123	2736	19332
124	2760	19322
125	2782	19299
126	2807	19300
127	2832	19294
128	2850	19246
129	2869	19205
130	2889	19170
131	2911	19147
132	2931	19112
133	2950	19070
134	2970	19032
135	2993	19016
136	3012	18977
137	3035	18959
138	3056	18930
139	3078	18910
140	3097	18870
141	3119	18845
142	3141	18827
143	3160	18789
144	3182	18767
145	3202	18733
146	3223	18705
147	3244	18676
148	3263	18640
149	3283	18607
150	3304	18577
151	3326	18557
152	3344	18515
153	3366	18492
154	3389	18478
155	3408	18441
156	3433	18435
157	3464	18462
158	3491	18467
159	3512	18440
160	3534	18421
161	3555	18392
162	3572	18346
163	3593	18320
164	3616	18300
165	3636	18271
166	3657	18243
167	3677	18213
168	3697	18182
169	3721	18171
170	3747	18168
171	3771	18157
172	3794	18141
173	3819	18131
174	3842	18115
175	3865	18095
176	3892	18098
177	3917	18089
178	3939	18069
179	3962	18051
180	3983	18024
181	4005	18003
182	4026	17977
183	4045	17939
184	4068	17923
185	4089	17898
186	4110	17872
187	4129	17836
188	4149	17804
189	4169	17776
190	4191	17752
191	4212	17728
192	4236	17715
193	4257	17689
194	4277	17659
195	4294	17614
196	4311	17575
197	4333	17551
198	4352	17517
199	4370	17483
200	4391	17457
201	4418	17456
202	4437	17421
203	4455	17384
204	4475	17354
205	4496	17330
206	4525	17337
207	4543	17301
208	4566	17281
209	4588	17262
210	4610	17239
211	4636	17234
212	4654	17197
213	4676	17175
214	4698	17155
215	4720	17132
216	4742	17111
217	4763	17088
218	4784	17061
219	4803	17029
220	4823	17002
221	4845	16981
222	4868	16962
223	4888	16933
224	4909	16908
225	4928	16877
226	4950	16858
227	4969	16827
228	4989	16797
229	5006	16762
230	5028	16740
231	5050	16720
232	5068	16685
233	5089	16660
234	5122	16674
235	5146	16660
236	5166	16633
237	5189	16614
238	5208	16585
239	5233	16572
240	5256	16553
241	5287	16561
242	5314	16555
243	5340	16547
244	5363	16529
245	5386	16508
246	5425	16538
247	5446	16515
248	5473	16509
249	5497	16491
250	5521	16475
251	5544	16456
252	5566	16434
253	5594	16430
254	5616	16409
255	5639	16388
256	5661	16366
257	5685	16350
258	5708	16333
259	5730	16310
260	5751	16285
261	5774	16265
262	5791	16229
263	5809	16196
264	5832	16175
265	5851	16147
266	5870	16115
267	5889	16085
268	5909	16059
269	5931	16035
270	5950	16008
271	5970	15979
272	5992	15957
273	6015	15939
274	6034	15909
275	6055	15884
276	6075	15858
277	6100	15844
278	6138	15864
279	6161	15843
280	6178	15809
